time,status,q_yH,dq_yH,ddq_yH,q_phiO,dq_phiO,ddq_phiO
0.0,PASSED,-0.2610332011721273,0.0,0.0,2.631566427957969,0.0,0.0
0.0010002000400080016,PASSED,-0.26103174877041263,0.002165070879085265,3.6084514651421085,2.631558857995577,-0.011284415987558909,-18.80735997926485
0.002000400080016003,PASSED,-0.26102786983981113,0.005638815248300719,3.3839396385976848,2.6315386409386003,-0.029389606028307036,-17.637076748403647
0.0030006001200240046,PASSED,-0.2610206284867966,0.008889440025286726,3.1617482025782206,2.631500899063877,-0.04633162238523248,-16.478642762606647
0.004000800160032006,PASSED,-0.26101024643222803,0.011919621184794064,2.9424697974600846,2.6314467883071333,-0.0621242720699199,-15.335320966074605
0.005001000200040008,PASSED,-0.26099694244244126,0.01473260085040173,2.726652911039387,2.631377449307839,-0.07678441302351369,-14.210020945273262
0.006001200240048009,PASSED,-0.260980931784078,0.017332144778587556,2.5148046062834504,2.631294004537316,-0.09033159723940225,-13.105293062965409
0.007001400280056011,PASSED,-0.26096242572354755,0.019722497382956065,2.307384603091882,2.631197555662555,-0.1027878930203094,-12.023630926201644
0.008001600320064013,PASSED,-0.26094163107007184,0.021908337326941783,2.1048101712482725,2.631089181140313,-0.11417770594723353,-10.967267594072458
0.009001800360072015,PASSED,-0.2609187497611862,0.023894737271719788,1.90745979379783,2.6309699340355426,-0.12452748041297444,-9.938112380186555
0.010002000400080016,PASSED,-0.2608939784894849,0.02568712307692081,1.7156698128031496,2.6308408400577923,-0.13386550506187805,-8.937966161381663
0.011002200440088018,PASSED,-0.26086750836934014,0.027291233378785217,1.5297372945719165,2.63070289580881,-0.1422217482513481,-7.968427874862282
0.012002400480096018,PASSED,-0.260839524642266,0.028713082546283387,1.3499237494490113,2.6305570672343026,-0.14962761063927402,-7.030818729968364
0.01300260052010402,PASSED,-0.2608102064195475,0.02995892425479367,1.1764536812177966,2.6304042882725143,-0.1561157338915896,-6.126326267213678
0.014002800560112022,PASSED,-0.2607797264607154,0.031035215555913463,1.0095163810544538,2.630245459692014,-0.1617198491900845,-5.255974652682388
0.015003000600120024,PASSED,-0.2607482509864166,0.031948583692047665,0.8492693061873664,2.630081448110975,-0.1664745734416141,-4.42055731742776
0.016003200640128026,PASSED,-0.2607159395242013,0.032705794171073825,0.6958379275853515,2.629913085190029,-0.1704152333863409,-3.6207283629262093
0.017003400680136026,PASSED,-0.2606829447857306,0.03331371955582601,0.5493170228634013,2.6297411669906943,-0.17357772835860696,-2.857006045159292
0.01800360072014403,PASSED,-0.2606494125738958,0.033779310517919374,0.4097735882466804,2.6295664534913037,-0.17599836373445038,-2.129721596299461
0.01900380076015203,PASSED,-0.2606154817183344,0.03410956845309568,0.27724749979605795,2.629389668252371,-0.17771369685862243,-1.4390741427537357
