time,status,q_yH,dq_yH,ddq_yH,q_phiO,dq_phiO,ddq_phiO
0.0,PASSED,-0.2642071876538174,0.0,0.0,2.6481337151948625,0.0,0.0
0.0010002000400080016,PASSED,-0.26420569556545503,0.0022242310991281242,3.7070518318802073,2.648125915149943,-0.011627396152792104,-19.37899358798684
0.002000400080016003,PASSED,-0.26420164259163037,0.0058943390447044886,3.64547868804047,2.6481047278711687,-0.030813176067585324,-19.056970799330813
0.0030006001200240046,PASSED,-0.26419395214409275,0.009500119569627638,3.5793150828449374,2.6480645256082065,-0.049662347853085896,-18.710639109613734
0.004000800160032006,PASSED,-0.26418269077567064,0.013037086296267708,3.5087344891701613,2.6480056566939725,-0.06815124310084743,-18.34106600652674
0.005001000200040008,PASSED,-0.2641679294363763,0.016500929983234647,3.4339164854981257,2.6479284926297764,-0.08625721061125372,-17.949235179659297
0.006001200240048009,PASSED,-0.2641497432928257,0.01988752521345306,3.3550477266986043,2.6478334271270354,-0.10395850721756976,-17.536004224087204
0.007001400280056011,PASSED,-0.2641282115440705,0.023192932709080023,3.2723140082458633,2.647720875129345,-0.12123436986703105,-17.10243493304402
0.008001600320064013,PASSED,-0.2641034172341941,0.02641340099782631,3.1859044757465718,2.6475912718169656,-0.13806509058254096,-16.649577903820507
0.009001800360072015,PASSED,-0.2640754470620283,0.029545370959360773,3.09601361872639,2.647445071595679,-0.15443194811678246,-16.178377287855476
0.010002000400080016,PASSED,-0.2640443911883386,0.03258547787646415,3.00283578268804,2.6472827470719844,-0.17031723760476608,-15.689897621402386
0.011002200440088018,PASSED,-0.2640103430408262,0.03553055228457389,2.906566825057536,2.6471047880166,-0.18570433120420377,-15.185224251461209
0.012002400480096018,PASSED,-0.26397339911729556,0.03837762271247856,2.807406163136088,2.64691170031825,-0.2005776374737358,-14.665360948245924
0.01300260052010402,PASSED,-0.26393365878732866,0.04112391708356141,2.705553176380678,2.6467040049295782,-0.2149226069548047,-14.131375169617565
